VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VV_16,VH_17,VH_18,VH_19,VH_20,VH_21,VH_22,VH_23,VH_24,VH_25,VH_26,VH_27,VH_28,VH_29,VH_30,VH_31,VH_32,VHVV_33,VHVV_34,VHVV_35,VHVV_36,VHVV_37,VHVV_38,VHVV_39,VHVV_40,VHVV_41,VHVV_42,VHVV_43,VHVV_44,VHVV_45,VHVV_46,VHVV_47,VHVV_48,label
-5.560136,-4.689237,-7.426601,-7.324841,-6.409355,-7.6128206,-2.5737298,-7.4152,-5.4368873,-9.455805,-8.627954,-7.021423,-4.7127013,-7.4576774,-4.737697,-9.01856,-12.527491,-16.554386,-14.658552,-13.843226,-13.765749,-14.864043,-13.520547,-12.094287,-13.563213,-19.062965,-15.72487,-13.381859,-16.208073,-13.511504,-13.098778,-14.477498,2.2530906,3.530294,1.9737902,1.8899013,2.147759,1.9525014,5.253289,1.6310129,2.4946654,2.0160067,1.8225491,1.9058615,3.439232,1.8117577,2.7647984,1.6053003,0
-6.352469,-0.3456893,-2.8275533,-3.8855445,0.117233925,1.303026,-1.5504236,-4.7916775,1.5063026,-3.6552172,0.8698693,-1.0938096,-1.2626294,-1.7617947,-2.5777943,-2.9004629,-14.141003,-11.936921,-15.426021,-18.878305,-14.094761,-11.485147,-11.023266,-13.948983,-7.4039755,-16.470575,-12.783202,-16.599049,-12.421179,-9.048669,-14.762809,-17.559372,2.226064,34.53078,5.4556074,4.8585997,-120.22766,-8.814212,7.109841,2.9110856,-4.915331,4.5060453,-14.695543,15.1754465,9.837549,5.1360517,5.7269154,6.05399,0
-9.537341,-10.262514,-11.700729,-8.50908,-8.030363,-15.748252,-15.028082,-11.072735,-10.701276,-11.5212555,-9.687282,-10.260315,-10.234394,-10.083507,-9.764608,-11.215887,-15.69334,-16.320856,-17.751923,-15.681828,-16.285685,-24.367908,-21.966684,-25.427114,-20.095743,-20.290232,-16.854088,-15.687166,-11.190658,-14.519896,-12.120898,-20.59477,1.6454629,1.590337,1.5171636,1.8429521,2.0280135,1.5473405,1.4617091,2.2963717,1.877883,1.7611128,1.7398161,1.5289166,1.0934362,1.4399649,1.2413092,1.8362141,0
-8.582038,-11.919782,-8.899887,-9.702871,-12.696999,-13.450804,-12.444431,-9.453472,-9.836702,-9.040037,-15.164092,-9.357136,-14.251151,-6.817051,-12.083127,-11.506859,-18.00212,-15.954593,-21.08111,-17.539156,-20.815702,-25.691677,-19.717497,-20.596611,-20.822338,-17.862055,-20.046753,-13.45909,-19.449482,-9.462001,-17.795599,-27.612661,2.0976508,1.3384972,2.368694,1.8076253,1.6394191,1.9100479,1.5844434,2.178735,2.1168008,1.9758829,1.3219882,1.438377,1.3647656,1.3879902,1.4727644,2.39967,1
-8.582038,-11.919782,-8.899887,-9.702871,-12.696999,-13.450804,-12.444431,-9.453472,-9.836702,-9.040037,-15.164092,-9.357136,-14.251151,-6.817051,-12.083127,-11.506859,-18.00212,-15.954593,-21.08111,-17.539156,-20.815702,-25.691677,-19.717497,-20.596611,-20.822338,-17.862055,-20.046753,-13.45909,-19.449482,-9.462001,-17.795599,-27.612661,2.0976508,1.3384972,2.368694,1.8076253,1.6394191,1.9100479,1.5844434,2.178735,2.1168008,1.9758829,1.3219882,1.438377,1.3647656,1.3879902,1.4727644,2.39967,1
-14.323916,-11.523313,-8.299135,-10.571769,-9.237277,-11.101631,-8.874532,-8.31188,-9.423348,-7.433172,-9.343299,-9.99925,-6.544153,-4.601862,-9.259247,-9.615123,-17.569124,-18.082632,-15.637755,-14.688511,-16.517012,-13.71373,-14.111577,-14.136392,-15.636092,-15.806421,-16.950138,-16.11402,-17.420671,-14.708147,-17.65098,-18.231173,1.2265587,1.5692217,1.8842633,1.389409,1.7880824,1.2352896,1.5901207,1.7007453,1.6592927,2.1264706,1.814149,1.6115227,2.6620207,3.1961296,1.9063085,1.8960936,1
-14.323916,-11.523313,-8.299135,-10.571769,-9.237277,-11.101631,-8.874532,-8.31188,-9.423348,-7.433172,-9.343299,-9.99925,-6.544153,-4.601862,-9.259247,-9.615123,-17.569124,-18.082632,-15.637755,-14.688511,-16.517012,-13.71373,-14.111577,-14.136392,-15.636092,-15.806421,-16.950138,-16.11402,-17.420671,-14.708147,-17.65098,-18.231173,1.2265587,1.5692217,1.8842633,1.389409,1.7880824,1.2352896,1.5901207,1.7007453,1.6592927,2.1264706,1.814149,1.6115227,2.6620207,3.1961296,1.9063085,1.8960936,1
-9.409835,-8.237193,-8.808921,-13.231774,-11.653107,-11.760925,-7.7880306,-12.329372,-10.854208,-9.199108,-9.788912,-11.588384,-11.559931,-9.765667,-13.881599,-10.971762,-18.07208,-18.56911,-17.992222,-16.633135,-17.762808,-17.863758,-14.726811,-17.416025,-15.6142235,-13.14009,-17.951569,-17.332901,-17.968044,-13.138084,-22.41104,-17.858414,1.9205524,2.2543006,2.0425,1.25706,1.5242981,1.5189077,1.8909545,1.4125638,1.438541,1.4284091,1.8338677,1.4957135,1.5543385,1.345334,1.6144422,1.6276705,0
-11.566282,-9.520266,-11.342872,-13.948984,-12.999861,-12.049292,-6.237501,-7.8320527,-9.48568,-10.643953,-8.797147,-10.349468,-11.729768,-9.681511,-7.6987715,-9.84438,-20.828691,-19.199194,-21.115131,-25.449167,-20.98976,-23.364412,-20.685581,-19.393759,-17.587997,-15.631967,-18.722555,-20.003542,-19.73061,-17.824837,-14.300795,-19.865273,1.8008113,2.0166657,1.8615332,1.824446,1.6146142,1.9390694,3.316325,2.476204,1.8541632,1.4686241,2.1282532,1.9328088,1.6820973,1.8411213,1.8575425,2.01793,0
-10.70644,-10.572226,-8.239493,-10.160292,-9.334819,-10.641121,-8.691473,-11.44438,-11.719144,-15.807883,-8.21451,-7.860961,-8.240622,-11.686659,-9.933779,-10.921722,-17.401382,-16.060966,-21.71436,-15.8933115,-14.418384,-19.277464,-16.164886,-20.576675,-19.804935,-20.636448,-19.215784,-15.760867,-15.244113,-12.825871,-13.60312,-18.848764,1.6253191,1.519166,2.6353998,1.5642575,1.544581,1.8116009,1.8598559,1.7979721,1.6899644,1.305453,2.3392491,2.004954,1.8498741,1.0974798,1.3693801,1.7258052,0
